epoch,train_loss,val_auroc,val_accuracy,val_f1_weighted,model,fewshot_frac,seed,organ
3,0.8361480236053467,0.5461149477137849,0.4830508474576271,0.463388160641229,CLIP Full (std),0.05,42,breast
4,0.7537502944469452,0.5547279997134649,0.5338983050847458,0.46694070612084015,CLIP Full (std),0.05,42,breast
1,1.0542583465576172,0.5232842024162623,0.5,0.4025992906536903,CLIP Full (std),0.1,42,breast
2,1.052311733365059,0.5285567411086515,0.4406779661016949,0.3784910450833734,CLIP Full (std),0.1,42,breast
3,0.9015581905841827,0.5635986475687472,0.5338983050847458,0.41192493946731235,CLIP Full (std),0.1,42,breast
4,0.8517435640096664,0.5388662716943448,0.4661016949152542,0.38495116989058825,CLIP Full (std),0.1,42,breast
1,1.1770570278167725,0.5871143760263361,0.2796610169491525,0.17469204927211643,BERT +Img Enc (std),0.01,42,breast
2,0.9350148439407349,0.5909154706496901,0.3220338983050847,0.27167239540120897,BERT +Img Enc (std),0.01,42,breast
3,0.7353111505508423,0.5933478055259617,0.3559322033898305,0.3452457672848185,BERT +Img Enc (std),0.01,42,breast
4,1.4005908966064453,0.5986239282127986,0.4067796610169492,0.43595290205459697,BERT +Img Enc (std),0.01,42,breast
1,1.0922221541404724,0.6341087207366276,0.3559322033898305,0.3064906662500976,BERT +Img Enc (std),0.05,42,breast
2,1.3781542778015137,0.6510663224741298,0.576271186440678,0.4682203389830508,BERT +Img Enc (std),0.05,42,breast
3,1.324264645576477,0.6167697865995209,0.559322033898305,0.4815586417636555,BERT +Img Enc (std),0.05,42,breast
4,1.0249877870082855,0.6279605200078623,0.2711864406779661,0.23158185226761452,BERT +Img Enc (std),0.05,42,breast
1,1.2716460525989532,0.6051752464958445,0.288135593220339,0.19209039548022597,BERT +Img Enc (std),0.1,42,breast
2,1.0599377751350403,0.648350914266612,0.3050847457627119,0.22254343656391645,BERT +Img Enc (std),0.1,42,breast
3,1.07135209441185,0.6474498369847207,0.4152542372881356,0.39808160437951684,BERT +Img Enc (std),0.1,42,breast
4,0.9995595067739487,0.6466663031966188,0.5,0.47390634420848127,BERT +Img Enc (std),0.1,42,breast
1,2.07669734954834,0.5820010611850313,0.4830508474576271,0.45097519940179465,BERT Full (std),0.01,42,breast
2,1.1508053541183472,0.5385849638548974,0.5254237288135594,0.47982250481150446,BERT Full (std),0.01,42,breast
3,1.13743257522583,0.518277620312504,0.4915254237288136,0.4380976119261264,BERT Full (std),0.01,42,breast
4,0.51724773645401,0.511671885239161,0.4830508474576271,0.4280129242490642,BERT Full (std),0.01,42,breast
1,1.6592216491699219,0.5152771566289008,0.5,0.42552954499043943,BERT Full (std),0.05,42,breast
2,1.2742703557014465,0.5345188622285798,0.5338983050847458,0.4558931181992308,BERT Full (std),0.05,42,breast
3,0.8858003318309784,0.5502924769951348,0.576271186440678,0.5182872435325603,BERT Full (std),0.05,42,breast
4,1.0119719505310059,0.557079730439365,0.4322033898305085,0.3989830508474576,BERT Full (std),0.05,42,breast
1,1.3500288724899292,0.49478770583421755,0.5338983050847458,0.429715513292369,BERT Full (std),0.1,42,breast
2,1.041830226778984,0.5410278329090621,0.559322033898305,0.46418461317948906,BERT Full (std),0.1,42,breast
3,0.9661726355552673,0.5456128542922561,0.5677966101694916,0.5157899617645381,BERT Full (std),0.1,42,breast
4,0.8140927702188492,0.5182512554813219,0.4406779661016949,0.4272686813962155,BERT Full (std),0.1,42,breast
1,1.3653554916381836,0.47768197103745275,0.4915254237288136,0.3834745762711864,CLIP +Img Enc (LLM),0.01,42,breast
2,0.7404258847236633,0.40848761449882715,0.5084745762711864,0.4191943649570768,CLIP +Img Enc (LLM),0.01,42,breast
3,0.4393758773803711,0.399548738221911,0.4661016949152542,0.38977787135487946,CLIP +Img Enc (LLM),0.01,42,breast
4,0.24527642130851746,0.41575516699063214,0.3813559322033898,0.36616410907647123,CLIP +Img Enc (LLM),0.01,42,breast
1,1.0712440311908722,0.5132726020288313,0.288135593220339,0.2772572060707654,CLIP +Img Enc (LLM),0.05,42,breast
2,0.945382833480835,0.5748524558221402,0.5254237288135594,0.4732080345970383,CLIP +Img Enc (LLM),0.05,42,breast
3,0.6946993470191956,0.633446874507921,0.6101694915254238,0.5859917963005958,CLIP +Img Enc (LLM),0.05,42,breast
4,0.5047108680009842,0.6206518898690826,0.6016949152542372,0.5857453558356693,CLIP +Img Enc (LLM),0.05,42,breast
1,1.036054790019989,0.6041220580360945,0.5084745762711864,0.50501262170934,CLIP +Img Enc (LLM),0.1,42,breast
2,0.7972260564565659,0.676759246890061,0.652542372881356,0.5900211367978854,CLIP +Img Enc (LLM),0.1,42,breast
3,0.5302524045109749,0.7194920769983062,0.6271186440677966,0.6171350306943526,CLIP +Img Enc (LLM),0.1,42,breast
4,0.3455843962728977,0.7129590244104363,0.6949152542372882,0.6647145002605204,CLIP +Img Enc (LLM),0.1,42,breast
1,1.098576307296753,0.4441841000914921,0.559322033898305,0.401252763448784,CLIP Full (LLM),0.01,42,breast
2,1.098003625869751,0.5116682937540497,0.559322033898305,0.401252763448784,CLIP Full (LLM),0.01,42,breast
3,1.0973589420318604,0.5108787714684725,0.559322033898305,0.401252763448784,CLIP Full (LLM),0.01,42,breast
4,1.096583366394043,0.5287492142870049,0.559322033898305,0.401252763448784,CLIP Full (LLM),0.01,42,breast
1,1.0983303785324097,0.4473982891185964,0.559322033898305,0.401252763448784,CLIP Full (LLM),0.05,42,breast
2,1.0968620777130127,0.572333713259793,0.559322033898305,0.401252763448784,CLIP Full (LLM),0.05,42,breast
3,1.0938713550567627,0.4416242476146961,0.559322033898305,0.401252763448784,CLIP Full (LLM),0.05,42,breast
4,1.0906511545181274,0.5438801929198523,0.559322033898305,0.401252763448784,CLIP Full (LLM),0.05,42,breast
1,1.0975569486618042,0.5206080723678315,0.559322033898305,0.401252763448784,CLIP Full (LLM),0.1,42,breast
2,1.0898053348064423,0.44614031628670325,0.559322033898305,0.401252763448784,CLIP Full (LLM),0.1,42,breast
3,1.0773310959339142,0.4460800078013533,0.559322033898305,0.401252763448784,CLIP Full (LLM),0.1,42,breast
4,1.0508553981781006,0.4608150414784551,0.559322033898305,0.401252763448784,CLIP Full (LLM),0.1,42,breast
1,1.3846242427825928,0.6413667255133203,0.5932203389830508,0.5708917001313449,BERT +Img Enc (LLM),0.01,42,breast
2,1.4726712703704834,0.6006332399604825,0.5169491525423728,0.5202291942140481,BERT +Img Enc (LLM),0.01,42,breast
3,1.4913647174835205,0.6048546288060407,0.5508474576271186,0.5525895453487842,BERT +Img Enc (LLM),0.01,42,breast
4,0.7594134211540222,0.6184643786907076,0.6016949152542372,0.5864406779661016,BERT +Img Enc (LLM),0.01,42,breast
1,1.4714211821556091,0.6673036093198053,0.5423728813559322,0.5334881633204512,BERT +Img Enc (LLM),0.05,42,breast
2,1.3191798329353333,0.605396080479137,0.5932203389830508,0.5174759319679577,BERT +Img Enc (LLM),0.05,42,breast
3,0.9205791354179382,0.5928576718132367,0.6016949152542372,0.5317579205448864,BERT +Img Enc (LLM),0.05,42,breast
4,1.0441818535327911,0.5972796398876132,0.5847457627118644,0.5340823810939779,BERT +Img Enc (LLM),0.05,42,breast
1,1.328944742679596,0.6764643878638896,0.4576271186440678,0.41366438780945153,BERT +Img Enc (LLM),0.1,42,breast
2,0.9143669456243515,0.5851355881567676,0.5847457627118644,0.46484643909130224,BERT +Img Enc (LLM),0.1,42,breast
3,1.0053788125514984,0.5854577304847238,0.5677966101694916,0.4198809433596875,BERT +Img Enc (LLM),0.1,42,breast
4,1.0865972340106964,0.6100679970177478,0.5932203389830508,0.5171717492924603,BERT +Img Enc (LLM),0.1,42,breast
1,1.4939265251159668,0.48073609092089153,0.3220338983050847,0.33328852429810424,BERT Full (LLM),0.01,42,breast
