average_type,n_organs,auroc,accuracy,f1_weighted,model,setting,fewshot_frac,seed
weighted_by_test_n,1,0.5876853197930512,0.4700854700854701,0.4770285580465856,BERT Full (LLM),fewshot_adaptation,0.1,46
macro,1,0.6800773666932974,0.5213675213675214,0.5287183026061679,BERT Full (std),fewshot_adaptation,0.01,42
weighted_by_test_n,1,0.6800773666932974,0.5213675213675214,0.5287183026061679,BERT Full (std),fewshot_adaptation,0.01,42
macro,1,0.521745935853033,0.3247863247863248,0.3277518989466617,BERT Full (std),fewshot_adaptation,0.01,43
weighted_by_test_n,1,0.521745935853033,0.3247863247863248,0.3277518989466617,BERT Full (std),fewshot_adaptation,0.01,43
macro,1,0.575621434516184,0.5042735042735043,0.5048909362419682,BERT Full (std),fewshot_adaptation,0.01,44
weighted_by_test_n,1,0.5756214345161839,0.5042735042735043,0.5048909362419682,BERT Full (std),fewshot_adaptation,0.01,44
macro,1,0.4246608994225021,0.39316239316239315,0.3831537481172518,BERT Full (std),fewshot_adaptation,0.01,45
weighted_by_test_n,1,0.4246608994225021,0.39316239316239315,0.3831537481172518,BERT Full (std),fewshot_adaptation,0.01,45
macro,1,0.6035406639422257,0.5128205128205128,0.5284493284493285,BERT Full (std),fewshot_adaptation,0.01,46
weighted_by_test_n,1,0.6035406639422257,0.5128205128205128,0.5284493284493285,BERT Full (std),fewshot_adaptation,0.01,46
macro,1,0.7035908693714217,0.5811965811965812,0.5904987828064752,BERT Full (std),fewshot_adaptation,0.05,42
weighted_by_test_n,1,0.7035908693714217,0.5811965811965812,0.5904987828064752,BERT Full (std),fewshot_adaptation,0.05,42
macro,1,0.6752782724198486,0.49572649572649574,0.5030934157370939,BERT Full (std),fewshot_adaptation,0.05,43
weighted_by_test_n,1,0.6752782724198487,0.49572649572649574,0.5030934157370939,BERT Full (std),fewshot_adaptation,0.05,43
macro,1,0.572615758778256,0.48717948717948717,0.5013947209069161,BERT Full (std),fewshot_adaptation,0.05,44
weighted_by_test_n,1,0.572615758778256,0.48717948717948717,0.5013947209069161,BERT Full (std),fewshot_adaptation,0.05,44
macro,1,0.608834333654623,0.46153846153846156,0.46024205481569824,BERT Full (std),fewshot_adaptation,0.05,45
weighted_by_test_n,1,0.608834333654623,0.46153846153846156,0.46024205481569824,BERT Full (std),fewshot_adaptation,0.05,45
macro,1,0.6706334058813476,0.5555555555555556,0.5616325707936123,BERT Full (std),fewshot_adaptation,0.05,46
weighted_by_test_n,1,0.6706334058813476,0.5555555555555556,0.5616325707936123,BERT Full (std),fewshot_adaptation,0.05,46
macro,1,0.6212059914630114,0.5042735042735043,0.506989306989307,BERT Full (std),fewshot_adaptation,0.1,42
weighted_by_test_n,1,0.6212059914630113,0.5042735042735043,0.506989306989307,BERT Full (std),fewshot_adaptation,0.1,42
macro,1,0.6114221715807755,0.4188034188034188,0.43011201465307747,BERT Full (std),fewshot_adaptation,0.1,43
weighted_by_test_n,1,0.6114221715807755,0.4188034188034188,0.43011201465307747,BERT Full (std),fewshot_adaptation,0.1,43
macro,1,0.6208823088492597,0.47863247863247865,0.5075660785805713,BERT Full (std),fewshot_adaptation,0.1,44
weighted_by_test_n,1,0.6208823088492597,0.47863247863247865,0.5075660785805713,BERT Full (std),fewshot_adaptation,0.1,44
macro,1,0.6538788666361266,0.5641025641025641,0.5708191331070133,BERT Full (std),fewshot_adaptation,0.1,45
weighted_by_test_n,1,0.6538788666361266,0.5641025641025641,0.5708191331070133,BERT Full (std),fewshot_adaptation,0.1,45
macro,1,0.6967128344036624,0.47863247863247865,0.4821349122718986,BERT Full (std),fewshot_adaptation,0.1,46
weighted_by_test_n,1,0.6967128344036623,0.47863247863247865,0.4821349122718986,BERT Full (std),fewshot_adaptation,0.1,46
macro,1,0.6792802144769307,0.5470085470085471,0.5399102867187974,BERT MLP Only (LLM),fewshot_adaptation,0.01,42
weighted_by_test_n,1,0.6792802144769305,0.5470085470085471,0.5399102867187974,BERT MLP Only (LLM),fewshot_adaptation,0.01,42
macro,1,0.7411018857831744,0.5982905982905983,0.6081740785160547,BERT MLP Only (LLM),fewshot_adaptation,0.01,43
weighted_by_test_n,1,0.7411018857831744,0.5982905982905983,0.6081740785160547,BERT MLP Only (LLM),fewshot_adaptation,0.01,43
macro,1,0.6975305731107174,0.6068376068376068,0.6209245170783633,BERT MLP Only (LLM),fewshot_adaptation,0.01,44
weighted_by_test_n,1,0.6975305731107174,0.6068376068376068,0.6209245170783633,BERT MLP Only (LLM),fewshot_adaptation,0.01,44
macro,1,0.5824607863134474,0.47863247863247865,0.4703979025401311,BERT MLP Only (LLM),fewshot_adaptation,0.01,45
weighted_by_test_n,1,0.5824607863134474,0.47863247863247865,0.4703979025401311,BERT MLP Only (LLM),fewshot_adaptation,0.01,45
macro,1,0.5731876159280614,0.4017094017094017,0.40913092457351363,BERT MLP Only (LLM),fewshot_adaptation,0.01,46
weighted_by_test_n,1,0.5731876159280614,0.4017094017094017,0.40913092457351363,BERT MLP Only (LLM),fewshot_adaptation,0.01,46
macro,1,0.7389666094510287,0.6153846153846154,0.6195254143109484,BERT MLP Only (LLM),fewshot_adaptation,0.05,42
weighted_by_test_n,1,0.7389666094510287,0.6153846153846154,0.6195254143109484,BERT MLP Only (LLM),fewshot_adaptation,0.05,42
macro,1,0.7130094635070031,0.5384615384615384,0.5293910539070393,BERT MLP Only (LLM),fewshot_adaptation,0.05,43
weighted_by_test_n,1,0.7130094635070031,0.5384615384615384,0.5293910539070393,BERT MLP Only (LLM),fewshot_adaptation,0.05,43
macro,1,0.7292788130631841,0.5811965811965812,0.596751709282968,BERT MLP Only (LLM),fewshot_adaptation,0.05,44
weighted_by_test_n,1,0.7292788130631841,0.5811965811965812,0.596751709282968,BERT MLP Only (LLM),fewshot_adaptation,0.05,44
macro,1,0.635519079630858,0.5128205128205128,0.5038531061144486,BERT MLP Only (LLM),fewshot_adaptation,0.05,45
weighted_by_test_n,1,0.6355190796308579,0.5128205128205128,0.5038531061144486,BERT MLP Only (LLM),fewshot_adaptation,0.05,45
