organ,n_train,n_val,n_test,n_classes,best_c,val_f1_weighted,accuracy,f1_weighted,auroc,n_eval,model,setting,fewshot_frac,seed
breast,29,118,117,3,0.1,0.5441856524050028,0.6666666666666666,0.6670907352021903,0.7741538797542186,117,BERT +Txt Enc (std),fewshot_adaptation,0.05,42
breast,29,118,117,3,1.0,0.5115129280176753,0.5299145299145299,0.5288975440874175,0.6928184789978543,117,BERT +Txt Enc (std),fewshot_adaptation,0.05,43
breast,29,118,117,3,0.1,0.5224643529728276,0.5982905982905983,0.6049860305179454,0.7590092260003826,117,BERT +Txt Enc (std),fewshot_adaptation,0.05,44
breast,29,118,117,3,1.0,0.45993836671802774,0.4358974358974359,0.4242046985023336,0.582470184394081,117,BERT +Txt Enc (std),fewshot_adaptation,0.05,45
breast,29,118,117,3,0.1,0.5327535275520535,0.5811965811965812,0.588077555519416,0.6945003173354304,117,BERT +Txt Enc (std),fewshot_adaptation,0.05,46
breast,56,118,117,3,10.0,0.4878235135862255,0.6752136752136753,0.6713476408132897,0.771469068484878,117,BERT +Txt Enc (std),fewshot_adaptation,0.1,42
breast,56,118,117,3,0.01,0.47495899398578467,0.5641025641025641,0.5673085095722697,0.7808447457222067,117,BERT +Txt Enc (std),fewshot_adaptation,0.1,43
breast,56,118,117,3,0.01,0.5705137292482984,0.6581196581196581,0.6538891792979288,0.8286480934724864,117,BERT +Txt Enc (std),fewshot_adaptation,0.1,44
breast,56,118,117,3,1.0,0.6475988700564971,0.5384615384615384,0.5320225205726852,0.604730989685817,117,BERT +Txt Enc (std),fewshot_adaptation,0.1,45
breast,56,118,117,3,0.1,0.5309658832489096,0.5299145299145299,0.5428642924211015,0.6891217368693999,117,BERT +Txt Enc (std),fewshot_adaptation,0.1,46
breast,8,118,117,3,10.0,0.45731657486556726,0.5213675213675214,0.5287183026061679,0.6800773666932974,117,BERT Full (std),fewshot_adaptation,0.01,42
breast,8,118,117,3,1.0,0.2981228085720434,0.3247863247863248,0.3277518989466617,0.521745935853033,117,BERT Full (std),fewshot_adaptation,0.01,43
breast,8,118,117,3,0.1,0.4260278745085196,0.5042735042735043,0.5048909362419682,0.575621434516184,117,BERT Full (std),fewshot_adaptation,0.01,44
breast,8,118,117,3,1.0,0.4793523782228535,0.39316239316239315,0.3831537481172518,0.4246608994225021,117,BERT Full (std),fewshot_adaptation,0.01,45
