epoch,train_loss,val_auroc,val_accuracy,val_f1_weighted,model,fewshot_frac,seed,organ
4,0.9944261312484741,0.535073731138546,0.4954954954954955,0.45094155080412524,CLIP LLM | MLP heads only,0.01,42,liver
1,1.441188931465149,0.6553864259882779,0.2702702702702703,0.11500862564692352,CLIP LLM | MLP heads only,0.05,42,liver
2,1.1786540746688843,0.565958972440454,0.5945945945945946,0.44342647732478246,CLIP LLM | MLP heads only,0.05,42,liver
3,1.0027174949645996,0.6482767489711935,0.5945945945945946,0.44342647732478246,CLIP LLM | MLP heads only,0.05,42,liver
4,0.9821445345878601,0.717110144656441,0.5945945945945946,0.44342647732478246,CLIP LLM | MLP heads only,0.05,42,liver
1,1.1085232347249985,0.6230421498940018,0.5135135135135135,0.49304644450275514,CLIP LLM | MLP heads only,0.1,42,liver
2,0.9919492602348328,0.5659433844619031,0.5945945945945946,0.44342647732478246,CLIP LLM | MLP heads only,0.1,42,liver
3,0.9184305369853973,0.739396277590722,0.5945945945945946,0.44342647732478246,CLIP LLM | MLP heads only,0.1,42,liver
4,0.7553476989269257,0.7618694662676145,0.6036036036036037,0.46283783783783783,CLIP LLM | MLP heads only,0.1,42,liver
1,1.5646347999572754,0.6366933221099887,0.5945945945945946,0.44342647732478246,CLIP LLM | MLP + image encoder,0.01,42,liver
2,1.045655369758606,0.6465168661927921,0.18018018018018017,0.11645468998410176,CLIP LLM | MLP + image encoder,0.01,42,liver
3,1.0101356506347656,0.6561595897244046,0.6396396396396397,0.5932557944941848,CLIP LLM | MLP + image encoder,0.01,42,liver
4,0.9034440517425537,0.7057854782391818,0.6216216216216216,0.5413168487636573,CLIP LLM | MLP + image encoder,0.01,42,liver
1,1.3534881472587585,0.7418241052500312,0.5945945945945946,0.4585907335907336,CLIP LLM | MLP + image encoder,0.05,42,liver
2,1.0076067447662354,0.7856200897867565,0.5945945945945946,0.44594594594594594,CLIP LLM | MLP + image encoder,0.05,42,liver
3,0.871684342622757,0.8127946127946127,0.6306306306306306,0.5342220048102402,CLIP LLM | MLP + image encoder,0.05,42,liver
4,0.6978922784328461,0.8342764060356652,0.6756756756756757,0.6357481999373892,CLIP LLM | MLP + image encoder,0.05,42,liver
1,1.0061615109443665,0.7657555493203642,0.2702702702702703,0.11500862564692352,CLIP LLM | MLP + image encoder,0.1,42,liver
2,0.953985869884491,0.812178108242923,0.6396396396396397,0.5312476517295794,CLIP LLM | MLP + image encoder,0.1,42,liver
3,0.6473644971847534,0.834585048010974,0.6756756756756757,0.6411448303340196,CLIP LLM | MLP + image encoder,0.1,42,liver
4,0.5454236268997192,0.8205114415762563,0.6666666666666666,0.6321911556810886,CLIP LLM | MLP + image encoder,0.1,42,liver
1,2.5269417762756348,0.5333762002743484,0.5945945945945946,0.44342647732478246,CLIP LLM | MLP + text encoder,0.01,42,liver
2,1.6874812841415405,0.5061065905973314,0.6216216216216216,0.5756237006237007,CLIP LLM | MLP + text encoder,0.01,42,liver
3,0.9694772362709045,0.5391289437585735,0.5945945945945946,0.44342647732478246,CLIP LLM | MLP + text encoder,0.01,42,liver
4,1.0847322940826416,0.5558852413019079,0.2702702702702703,0.23978489234298114,CLIP LLM | MLP + text encoder,0.01,42,liver
1,2.0695343613624573,0.5362217857588227,0.2702702702702703,0.11500862564692352,CLIP LLM | MLP + text encoder,0.05,42,liver
2,1.5420173406600952,0.5287567028307769,0.5945945945945946,0.44342647732478246,CLIP LLM | MLP + text encoder,0.05,42,liver
3,0.9279298782348633,0.6334603753585235,0.5945945945945946,0.44342647732478246,CLIP LLM | MLP + text encoder,0.05,42,liver
4,0.9696832597255707,0.729073138795361,0.5945945945945946,0.44342647732478246,CLIP LLM | MLP + text encoder,0.05,42,liver
1,1.4086314886808395,0.48727241551315625,0.5945945945945946,0.44342647732478246,CLIP LLM | MLP + text encoder,0.1,42,liver
2,0.9151277542114258,0.6253491707195411,0.2702702702702703,0.11500862564692352,CLIP LLM | MLP + text encoder,0.1,42,liver
3,1.0030635446310043,0.8209580371617409,0.5945945945945946,0.44342647732478246,CLIP LLM | MLP + text encoder,0.1,42,liver
4,0.9027065336704254,0.823791931662302,0.5945945945945946,0.44342647732478246,CLIP LLM | MLP + text encoder,0.1,42,liver
1,1.0988317728042603,0.5174932192293303,0.5945945945945946,0.44342647732478246,CLIP LLM | MLP + image + text encoder,0.01,42,liver
