average_type,n_organs,auroc,accuracy,f1_weighted,model,setting,fewshot_frac,seed
weighted_by_test_n,3,0.8632052716035605,0.7088815789473685,0.7139086933142552,MLP + image encoder,fewshot_adaptation,0.01,42
macro,3,0.8463319226214711,0.7174267592872243,0.722675711330753,MLP + image encoder,fewshot_adaptation,0.01,43
weighted_by_test_n,3,0.8410163213242492,0.7023026315789473,0.7078339244228163,MLP + image encoder,fewshot_adaptation,0.01,43
macro,3,0.8289346889229345,0.6799506694855532,0.6604109005194317,MLP + image encoder,fewshot_adaptation,0.01,44
weighted_by_test_n,3,0.8406718367091487,0.6891447368421053,0.6784356709705951,MLP + image encoder,fewshot_adaptation,0.01,44
macro,3,0.8724399986526515,0.7126044498137521,0.715777754650856,MLP + image encoder,fewshot_adaptation,0.01,45
weighted_by_test_n,3,0.8760508189450412,0.7154605263157895,0.717568859636701,MLP + image encoder,fewshot_adaptation,0.01,45
macro,3,0.8513163538801839,0.6849164401489983,0.6928234922949783,MLP + image encoder,fewshot_adaptation,0.01,46
weighted_by_test_n,3,0.8429289163584058,0.6710526315789473,0.6770812736450761,MLP + image encoder,fewshot_adaptation,0.01,46
macro,3,0.8824829801800268,0.7460611094332025,0.7493641936075731,MLP + image encoder,fewshot_adaptation,0.05,42
weighted_by_test_n,3,0.8738814714040224,0.7335526315789473,0.7421854584271305,MLP + image encoder,fewshot_adaptation,0.05,42
macro,3,0.8522037728851174,0.7216953589046612,0.724198835009827,MLP + image encoder,fewshot_adaptation,0.05,43
weighted_by_test_n,3,0.8566526350027052,0.7171052631578947,0.7215396308102192,MLP + image encoder,fewshot_adaptation,0.05,43
macro,3,0.8576285844327729,0.7052250075505889,0.7026617740558295,MLP + image encoder,fewshot_adaptation,0.05,44
weighted_by_test_n,3,0.8614778823641897,0.7154605263157895,0.7172345139900771,MLP + image encoder,fewshot_adaptation,0.05,44
macro,3,0.8732300019423115,0.7372395046813652,0.7354363783121509,MLP + image encoder,fewshot_adaptation,0.05,45
weighted_by_test_n,3,0.8763580747432465,0.743421052631579,0.7428783251879038,MLP + image encoder,fewshot_adaptation,0.05,45
macro,3,0.8812648504304574,0.7554817275747508,0.7593724032536162,MLP + image encoder,fewshot_adaptation,0.05,46
weighted_by_test_n,3,0.874453341671018,0.7384868421052632,0.7458615001623204,MLP + image encoder,fewshot_adaptation,0.05,46
macro,3,0.8860092794907394,0.7367235477700594,0.7382971228955829,MLP + image encoder,fewshot_adaptation,0.1,42
weighted_by_test_n,3,0.876139582809415,0.7319078947368421,0.736323112492143,MLP + image encoder,fewshot_adaptation,0.1,42
macro,3,0.8784596639787696,0.7576688815060907,0.7569114236602097,MLP + image encoder,fewshot_adaptation,0.1,43
weighted_by_test_n,3,0.8810383255077167,0.7549342105263158,0.754397850758091,MLP + image encoder,fewshot_adaptation,0.1,43
macro,3,0.8738238693016229,0.7289716097855633,0.7318787733470528,MLP + image encoder,fewshot_adaptation,0.1,44
weighted_by_test_n,3,0.8716849236759634,0.7220394736842105,0.7270445874624302,MLP + image encoder,fewshot_adaptation,0.1,44
macro,3,0.8856642979491641,0.7534833383670593,0.7529487146973203,MLP + image encoder,fewshot_adaptation,0.1,45
